None,year
1929,1629
2238,1630
2045,1631
1731,1632
2088,1633
1981,1634
2419,1635
1546,1636
1600,1637
1886,1638
1845,1639
2655,1640
6521,1641
10871,1642
7325,1643
4629,1644
4001,1645
3609,1646
5105,1647
6150,1648
5399,1649
5003,1650
3372,1651
3377,1652
3807,1653
3463,1654
3511,1655
2931,1656
3123,1657
3120,1658
5327,1659
6918,1660
4117,1661
3272,1662
3007,1663
2738,1664
2839,1665
2154,1666
2234,1667
2389,1668
2325,1669
3097,1670
2563,1671
3155,1672
2816,1673
3104,1674
3221,1675
2685,1676
2664,1677
3102,1678
4296,1679
5314,1680
4811,1681
4529,1682
4331,1683
4135,1684
4890,1685
2841,1686
3183,1687
4900,1688
5363,1689
4800,1690
3802,1691
3600,1692
3611,1693
3343,1694
4663,1695
4115,1696
3652,1697
4092,1698
4076,1699
6316,1700
2694,1701
2523,1702
2338,1703
2267,1704
2410,1705
2206,1706
2270,1707
2195,1708
2371,1709
2870,1710
2686,1711
2577,1712
2326,1713
2749,1714
2583,1715
2214,1716
2368,1717
2264,1718
2408,1719
3032,1720
2296,1721
2071,1722
1970,1723
2066,1724
2485,1725
2299,1726
2275,1727
2234,1728
2324,1729
2570,1730
2181,1731
2337,1732
2225,1733
2259,1734
2391,1735
2195,1736
2162,1737
2325,1738
2420,1739
2812,1740
2287,1741
2180,1742
2262,1743
2385,1744
2503,1745
2126,1746
2208,1747
2247,1748
2502,1749
3433,1750
2543,1751
2557,1752
2836,1753
2804,1754
3022,1755
2961,1756
2922,1757
2691,1758
2707,1759
3399,1760
3104,1761
3128,1762
2713,1763
2853,1764
3562,1765
3375,1766
3391,1767
3667,1768
3722,1769
4518,1770
3918,1771
4035,1772
3709,1773
3661,1774
4373,1775
4005,1776
4100,1777
4058,1778
3786,1779
4680,1780
3951,1781
3749,1782
3956,1783
4471,1784
4772,1785
4631,1786
7812,1787
5786,1788
7006,1789
12332,1790
6604,1791
5999,1792
5629,1793
4393,1794
4652,1795
4360,1796
4394,1797
4365,1798
4393,1799
7833,1800
2134,1801
2405,1802
2329,1803
2137,1804
2111,1805
2277,1806
2137,1807
2193,1808
2050,1809
2412,1810
2018,1811
1952,1812
1805,1813
2155,1814
2498,1815
3099,1816
3100,1817
3243,1818
3542,1819
3748,1820
3508,1821
3906,1822
3705,1823
4373,1824
4894,1825
4687,1826
5340,1827
5517,1828
5575,1829
5404,1830
4166,1831
4515,1832
4536,1833
4813,1834
5230,1835
5528,1836
5829,1837
6163,1838
6470,1839
7041,1840
6622,1841
6610,1842
7295,1843
7317,1844
7481,1845
7101,1846
7097,1847
6590,1848
5934,1849
7928,1850
6288,1851
6720,1852
7292,1853
7939,1854
7557,1855
7142,1856
7610,1857
7470,1858
7345,1859
8752,1860
7908,1861
8128,1862
8081,1863
8618,1864
8631,1865
8353,1866
8914,1867
8784,1868
8837,1869
8541,1870
6568,1871
8340,1872
8282,1873
8567,1874
47494,1875
10094,1876
10902,1877
10832,1878
10541,1879
12258,1880
10965,1881
11597,1882
12632,1883
12995,1884
13764,1885
14025,1886
13689,1887
14354,1888
14522,1889
14087,1890
14672,1891
14990,1892
14978,1893
15419,1894
16612,1895
16652,1896
17251,1897
18188,1898
18329,1899
21940,1900
19314,1901
20546,1902
21709,1903
23333,1904
24767,1905
23784,1906
24874,1907
26234,1908
26572,1909
30003,1910
28940,1911
32259,1912
33439,1913
24332,1914
15178,1915
15574,1916
16102,1917
15417,1918
21113,1919
27322,1920
28920,1921
30124,1922
30803,1923
31916,1924
34530,1925
34895,1926
38316,1927
40899,1928
43173,1929
50003,1930
45109,1931
42787,1932
42714,1933
43668,1934
45481,1935
45635,1936
47054,1937
46232,1938
42783,1939
28949,1940
34167,1941
33054,1942
31068,1943
28568,1944
35567,1945
49559,1946
52144,1947
54673,1948
54648,1949
58828,1950
56010,1951
60922,1952
60783,1953
65245,1954
66871,1955
68806,1956
71415,1957
77223,1958
77750,1959
89042,1960
91624,1961
97735,1962
105191,1963
111789,1964
118159,1965
128172,1966
134242,1967
142118,1968
145480,1969
150952,1970
144670,1971
147672,1972
143498,1973
136803,1974
137597,1975
138621,1976
140047,1977
143037,1978
142126,1979
138031,1980
129271,1981
123642,1982
125005,1983
130810,1984
135430,1985
138539,1986
142238,1987
145083,1988
144654,1989
147272,1990
144355,1991
145414,1992
144526,1993
150115,1994
151353,1995
155264,1996
154679,1997
151327,1998
149665,1999
152016,2000
142858,2001
141811,2002
139118,2003
140797,2004
142812,2005
142004,2006
140101,2007
127752,2008
115451,2009
99492,2010
27535,2011
173,2012
9,2013
2,2014

